gene	logFC_gast_nect	logCPM_gast_nect	CMN0040	CMN0039	CMN0047	CMN0048	CMN0039_GO_wnt	CMN0040_GO_wnt	CMN0039_GO_mapk	CMN0040_GO_mapk	CMN0039_GO_cyst	CMN0040_GO_cyst	CMN0039_GO_fate	CMN0040_GO_fate
1	-0.526032359	0.508831411	1.462397998	1.342422681	1	0.954242509	1.342422681	1.462397998	1.342422681	1.462397998	1.342422681	1.462397998	1.342422681	1.462397998
2	-0.855712674	2.016283561	1.86165387	1.609380944	1.62838893	1.72419392	1.609380944	1.86165387	1.609380944	1.86165387	1.609380944	1.86165387	1.609380944	1.86165387
3	-0.606159875	0.169822111	0.722633923	1.238547888	0.812913357	1.38039216	2.24765571	0.722633923	1.238547888	0.722633923	1.238547888	0.722633923	1.238547888	0.722633923
4	-0.493596234	2.986203384	2.217825981	2.076640444	1.885078384	1.802226238	2.076640444	2.217825981	2.076640444	2.217825981	2.076640444	2.217825981	2.076640444	2.217825981
5	-0.849711394	3.159499613	2.041590047	2.058160203	1.880127322	2.232640402	2.058160203	2.041590047	2.058160203	2.041590047	2.058160203	2.041590047	2.058160203	2.041590047
6	0.061249898	0.825101712	0.969881644	0.914343157	1.602059991	1.477121255	0.914343157	0.969881644	0.914343157	0.969881644	0.914343157	0.969881644	0.914343157	0.969881644
7	0.410672654	-0.642203413	1.028164419	1.250175948	0	0	1.250175948	1.028164419	1.250175948	1.028164419	1.250175948	1.028164419	1.250175948	1.028164419
8	0.007721408	1.85535477	1.789580712	1.968716377	1.18920949	1.40363519	2.24765571	1.789580712	1.968716377	1.789580712	1.968716377	1.789580712	1.968716377	1.789580712
9	0.224186056	2.019285729	1.350248018	1.8192148	1.782759193	1.823930455	1.8192148	2.082610361	1.8192148	1.350248018	1.8192148	1.350248018	1.8192148	1.350248018
10	-0.439472696	2.859877614	2.100370545	2.075546961	1.812913357	1.897627091	2.075546961	2.082610361	2.075546961	2.100370545	2.075546961	2.100370545	2.075546961	2.100370545
11	-0.092475363	7.794146052	3.345373731	3.558346107	3.456898704	3.540095368	2.24765571	3.345373731	3.558346107	3.345373731	3.558346107	3.345373731	3.558346107	3.345373731
12	0.448256758	3.240329243	2.190331698	2.361878869	1.995635195	1.633468456	2.361878869	2.190331698	1.958301029	1.87507574	2.361878869	2.190331698	2.361878869	2.190331698
