CMN0040	CMN0039	CMN0047	CMN0048	CMN0039_GO_wnt	CMN0040_GO_wnt	CMN0039_GO_mapk	CMN0040_GO_mapk	CMN0039_GO_cyst	CMN0040_GO_cyst	CMN0039_GO_fate	CMN0040_GO_fate	wnt_radius	wnt_colour	mapk_radius	mapk_colour	cyst_radius	cyst_colour	fate_radius	fate_colour
1.462397998	1.342422681	1	0.954242509	1.342422681	1.462397998	1.342422681	1.462397998	1.342422681	1.462397998	1.342422681	1.462397998	2.5	black	2.5	black	2.5	black	2.5	black
1.86165387	1.609380944	1.62838893	1.72419392	1.609380944	1.86165387	1.609380944	1.86165387	1.609380944	1.86165387	1.609380944	1.86165387	2.5	black	2.5	black	2.5	black	2.5	black
0.722633923	2.213572206	0.812913357	1.38039216	2.213572206	0.722633923	2.213572206	0.722633923	2.213572206	0.722633923	2.213572206	0.722633923	2.5	black	2.5	black	2.5	black	2.5	black
2.217825981	2.076640444	1.885078384	1.802226238	2.076640444	2.217825981	2.076640444	2.217825981	2.076640444	2.217825981	2.076640444	2.217825981	2.5	black	2.5	black	2.5	black	2.5	black
2.041590047	2.058160203	1.880127322	2.232640402	2.058160203	2.041590047	2.058160203	2.041590047	2.058160203	2.041590047	2.058160203	2.041590047	2.5	black	2.5	black	2.5	black	2.5	black
0.969881644	0.914343157	1.602059991	1.477121255	0.914343157	0.969881644	0.914343157	0.969881644	0.914343157	0.969881644	0.914343157	0.969881644	2.5	black	2.5	black	2.5	black	2.5	black
1.028164419	1.250175948	0	0	1.250175948	1.028164419	1.250175948	1.028164419	1.250175948	1.028164419	1.250175948	1.028164419	2.5	black	2.5	black	2.5	black	2.5	black
1.789580712	2.213572206	1.18920949	1.40363519	2.213572206	1.789580712	2.213572206	1.789580712	2.213572206	1.789580712	2.213572206	1.789580712	2.5	black	2.5	black	2.5	black	2.5	black
1.350248018	1.8192148	1.782759193	1.823930455	1.8192148	1.350248018	1.8192148	1.350248018	1.8192148	1.350248018	1.8192148	1.350248018	2.5	black	2.5	black	2.5	black	2.5	black
2.100370545	2.075546961	1.812913357	1.897627091	2.075546961	2.100370545	2.075546961	2.100370545	2.075546961	2.100370545	2.075546961	2.100370545	2.5	black	2.5	black	2.5	black	2.5	black
3.345373731	2.213572206	3.456898704	3.540095368	2.213572206	3.345373731	2.213572206	3.345373731	2.213572206	3.345373731	2.213572206	3.345373731	2.5	black	2.5	black	2.5	black	2.5	black
2.190331698	2.361878869	1.995635195	1.633468456	2.361878869	2.190331698	2.361878869	2.190331698	2.361878869	2.190331698	2.361878869	2.190331698	2.5	black	2.5	black	2.5	black	2.5	black
2.017033339	2.213572206	1.86923172	2.164323109	2.213572206	2.017033339	2.213572206	2.017033339	2.213572206	2.017033339	2.213572206	2.017033339	2.5	black	2.5	black	2.5	black	2.5	black
1.939519253	2.184748198	1.897627091	1.806179974	2.184748198	1.939519253	2.184748198	1.939519253	2.184748198	1.939519253	2.184748198	1.939519253	2.5	black	2.5	black	2.5	black	2.5	black
2.093421685	2.181843588	2.568201724	2.413299764	2.181843588	2.093421685	2.181843588	2.093421685	2.181843588	2.093421685	2.181843588	2.093421685	2.5	black	2.5	black	2.5	black	2.5	black
1.672097858	2.730871063	2.641474111	1.806179974	2.730871063	1.672097858	2.730871063	1.672097858	2.730871063	1.672097858	2.730871063	1.672097858	2.5	black	2.5	black	2.5	black	2.5	black
2.53529412	2.213572206	2.693726949	2.359835482	2.213572206	2.53529412	2.213572206	2.53529412	2.213572206	2.53529412	2.213572206	2.53529412	2.5	black	2.5	black	2.5	black	2.5	black
2.668357957	2.77530455	2.872284502	2.945414418	2.77530455	2.668357957	2.77530455	2.668357957	2.77530455	2.668357957	2.77530455	2.668357957	2.5	black	2.5	black	2.5	black	2.5	black
1.812913357	2.079181246	2.117271296	2	2.079181246	1.812913357	2.079181246	1.812913357	2.079181246	1.812913357	2.079181246	1.812913357	2.5	black	2.5	black	2.5	black	2.5	black
